title,comment,score,writer,date
신과함께-인과 연,"그냥 저냥 쏘쏘, 1편 만큼에 감동은 없었다",7,geek****,22.05.23
신과함께-인과 연,마지막 재판씬은 기억남,7,alst****,22.04.28
신과함께-인과 연,영화 재미있게 잘 봄ㅎㅎ,10,sony****,22.04.24
신과함께-인과 연,인물마다 각각의 이야기를 모두 꺼내야하니 끝까지 조급함이 느껴지긴 했지만 성주신을 통해 풀어가는 스토리는 좋았다. 깔끔한 기승전결과 배우들의 연기력이 좋다. 세상에 나쁜사람은 없다 나쁜상황이 있을뿐이라는 성주신의 대사가 기억에 남는다. 한낱 나약한 인간이기에 나쁜상황에 처해 나쁜행동을 했다면 “용서의 기회는 놓치지 말자”,8,srjc****,22.04.07
신과함께-인과 연,원작의 팬으로서 이 작품은 쓰레기라는 평조차 아까울 조차이다이 좋은 이야기를 그저 cg광고를 위한 포트폴리오로 사용한 덱스터 스튜디오에게는 정말....억지 신파에 공감안되는 개발암 주인공을 적절히 섞은 뒤 전체 배우들의 연기가 발연기로 보일정도에 디테일을 위에 끼얹으면 생기는 괴작OO았다,1,tana****,22.03.27
신과함께-인과 연,재밌었어요 감사합니다,10,cmm0****,22.03.26
신과함께-인과 연,재밌었어요 감사합니다,10,cmm0****,22.03.26
신과함께-인과 연,주지훈 연기가 너무 좋았고 1편에 이어서 더 내용과 재미가 커진 것같아서 재미있게 잘 봤습니다감상포인트 는 쥬라기월드,10,juhk****,22.03.26
신과함께-인과 연,주지훈 연기가 너무 좋았고 1편에 이어서 더 내용과 재미가 커진 것같아서 재미있게 잘 봤습니다감상포인트 는 쥬라기월드,10,juhk****,22.03.26
신과함께-인과 연,전 정말 재미있게 봤습니다. 이세상에 악한 인간은 없다는 대사가..잠시 냉정함은 벗고 공감하는 시간을 갖게 했네요.. 좋은 영화였습니다.,8,loli****,22.03.26
