title,comment,score,writer,date
키드,"그저 코미디 영화로만 놓고 봐도 100년도 더 된 영화라고 믿기 힘든 감탄스러운 작품이지만, 극중 주제를 생각해보면 그저 웃어넘기기엔 오늘날에도 적용될 사회적 문제라는 점 또한 흥미롭다.",9,sjjo****,22.05.22
키드,참으로 아름다운 영화다,10,tlat****,22.05.03
키드,50분 작품속에 인간과 사랑에 관한 모든 것이 담겨있다.,10,gkwl****,22.02.06
키드,짧고 굵게 행복하고 사랑스럽다,10,jsyb****,21.10.20
키드,"(레미제라블의 장발장과 코제트간 관계가 다소간 롤리타적 색채를 띠는 걸 감안함)어쩌면, 현대적 싱글 대디 스토리의 원형일수도",8,gold****,21.09.04
키드,과연 채플린의 영화이다! 이 참담한 포스트 코로나 시대에도 우리에게 웃음과 감동을 주는 이 영화는 명작이라 칭송받아 마땅하다!,10,rjkw****,21.03.23
키드,생에 첫 무성영화대사 없이 영상과 음악 만으로도 충분한 감동과 해학이 담겨 있다.찰리 채플린의 명작은 시대를 초월한다.,10,npr3****,21.03.20
키드,이탈리아 은행에서 50만불을 빌려 만든 휴머니스트 찰리 채플린의 장편 감독 데뷔작. 찰리 채플린 특유의 페이소스가 듬뿍 담긴 수작. 각박했던 사회와 가난했던 유년시절의 경험을 영화화했다. 아역 잭키 쿠건과의 유대감을 위해 촬영 초기 매주 일요일마다 놀이공원에 같이 가서 놀아줬다.,8,tear****,21.03.06
키드,1921년도에 만들어졌다니 놀랍습니다!흑백영화는 처음보는데,10,yeyo****,21.03.01
키드,긴 세월 동안 빛이 바랬을지 몰라도 그 순수함과 따뜻함만은 100년을 뛰어넘는다.,8,hyun****,21.02.25
키드,채플린만의 감동 연출법이 빛나는 영화. 진정한 휴머니스트. 희극의 천재.,10,got_****,21.02.23
키드,역시 찰리채플린? 이 영화를 극장에서 볼수 있는것도 넘 감사했어요. 울더가 웃다가 가슴한켠 찐하게 울리며 나왔네요?,10,gips****,21.02.20
키드,찰리채플린 특유의 디테일과 티키타카 무엇보다 아이의 연기력 탑 ^^찰리채플린 영화라는 것에서 느껴지는 따뜻함,9,libe****,21.02.14
키드,감동입니다. 코믹한 장면장면에 깔려있는 슬픔. 그래도 해피엔딩이라 다행^^,9,mohh****,21.02.10
키드,그들의 삶이 아무리 엉망인 순간들로 점철되더라도 그들은 끊임없이 움직이고 그 동작들이 모여 영화가 된다,9,awqw****,21.02.08
키드,100년 이상이 담겨있네요,10,rlad****,21.02.07
키드,,10,soob****,21.02.06
키드,,10,assa****,21.02.05
키드,무성영화임에도 내게는 다양한 울림이 느껴졌다.,10,gllo****,21.02.04
키드,즐거운 시간이었어요~!,10,daey****,21.02.04
키드,옛날 건물들이 굉장히 신기했다. 1920년대를 간접적으로 경험한 기분. 고전의 묘미를 맛 봤다,10,zzzz****,21.02.03
키드,오래된 찰리채플린의 명화를 볼 기회였습니다CD도 소장하고 있지만 100주년 의미도 크기에 영화관에서 편하게 관람~~,8,newm****,21.02.01
키드,시간이 1시간밖에 안되지만 재밌게봤습니다,10,ljh4****,21.01.31
키드,이 영화를 극장에서 볼 수 있다니... 그것만 으로도 영광. 두번다시 없을 기회이다.,10,seoy****,21.01.29
키드,100년 전의 인간의 모습과 현대를 바라보며 생각에 잠기다.,10,luci****,21.01.28
키드,지금봐도 정말 완벽한 영화. 보고나면 찰리 채플린이 얼마나 대단했는지 알 수 있다.,10,snrs****,21.01.27
키드,요즘 나오는 억지 신파와 코미디와는 비교가 불가능한 무성영화,10,robo****,21.01.23
키드,"영화 역사상 가장 귀여운 콤비, 영화 역사상 가장 사랑스러운 신파. 채플린의 휴머니스트적 감성을 만끽할 수 있는 대표작.",8,prin****,21.01.21
키드,찰리 채플린의 영화를 접하게 되어서 영광이다. 이 사람의 영화를 단순히 영화라고만 하기엔 너무 아까울 정도,10,ange****,20.07.20
키드,??그냥궁금하다ㅎ,10,howm****,19.11.06
키드,천재 채플린의 최고 걸작,10,arti****,19.04.22
키드,인생은 가까이서 보면 비극 멀리서 보면 희극!,10,haen****,18.07.10
키드,"인생은 아름다워, 세 얼간이를 잇는 내 인생영화",10,eovg****,18.04.29
