rank,song_name,singer,album_img_url,album_url
1위,That That (prod. & feat. SUGA of BTS),싸이 (PSY),https://cdnimg.melon.co.kr/cm2/album/images/109/37/474/10937474_20220428225312_500.jpg,https://www.melon.com/album/detail.htm?albumId=10937474
2위,TOMBOY,(여자)아이들,https://cdnimg.melon.co.kr/cm2/album/images/108/90/384/10890384_20220314111504_500.jpg,https://www.melon.com/album/detail.htm?albumId=10890384
3위,LOVE DIVE,IVE (아이브),https://cdnimg.melon.co.kr/cm2/album/images/109/09/179/10909179_20220405103521_500.jpg,https://www.melon.com/album/detail.htm?albumId=10909179
4위,사랑인가 봐,멜로망스,https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg,https://www.melon.com/album/detail.htm?albumId=10871162
5위,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),https://cdnimg.melon.co.kr/cm2/album/images/109/08/834/10908834_20220404174407_500.jpg,https://www.melon.com/album/detail.htm?albumId=10908834
6위,사랑은 늘 도망가,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg,https://www.melon.com/album/detail.htm?albumId=10735654
7위,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),https://cdnimg.melon.co.kr/cm2/album/images/109/25/762/10925762_20220419152007_500.jpg,https://www.melon.com/album/detail.htm?albumId=10925762
8위,우리들의 블루스,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
9위,나의 X에게,경서,https://cdnimg.melon.co.kr/cm2/album/images/109/29/486/10929486_20220422151852_500.jpg,https://www.melon.com/album/detail.htm?albumId=10929486
10위,다시 만날 수 있을까,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
11위,LOVE me,BE'O (비오),https://cdnimg.melon.co.kr/cm2/album/images/109/16/904/10916904_20220412101049_500.jpg,https://www.melon.com/album/detail.htm?albumId=10916904
12위,Feel My Rhythm,Red Velvet (레드벨벳),https://cdnimg.melon.co.kr/cm2/album/images/108/94/554/10894554_20220321100622_500.jpg,https://www.melon.com/album/detail.htm?albumId=10894554
13위,FEARLESS,LE SSERAFIM (르세라핌),https://cdnimg.melon.co.kr/cm2/album/images/109/39/458/10939458_20220502123814_500.jpg,https://www.melon.com/album/detail.htm?albumId=10939458
14위,취중고백,김민석 (멜로망스),https://cdnimg.melon.co.kr/cm2/album/images/108/16/959/10816959_20211217144957_500.jpg,https://www.melon.com/album/detail.htm?albumId=10816959
15위,GANADARA (Feat. 아이유),박재범,https://cdnimg.melon.co.kr/cm2/album/images/108/89/981/10889981_20220311110820_500.jpg,https://www.melon.com/album/detail.htm?albumId=10889981
16위,이제 나만 믿어요,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/104/12/319/10412319_20200403103006_500.jpg,https://www.melon.com/album/detail.htm?albumId=10412319
17위,HOT,세븐틴,https://cdnimg.melon.co.kr/cm2/album/images/109/22/231/10922231_20220527120653_500.jpg,https://www.melon.com/album/detail.htm?albumId=10922231
18위,무지개,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
19위,ZOOM,제시 (Jessi),https://cdnimg.melon.co.kr/cm2/album/images/109/18/269/10918269_20220413101153_500.jpg,https://www.melon.com/album/detail.htm?albumId=10918269
20위,아버지,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
21위,Beatbox,NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/109/69/893/10969893_20220530105316_500.jpg,https://www.melon.com/album/detail.htm?albumId=10969893
22위,신호등,이무진,https://cdnimg.melon.co.kr/cm2/album/images/106/07/796/10607796_20210513201807_500.jpg,https://www.melon.com/album/detail.htm?albumId=10607796
23위,INVU,태연 (TAEYEON),https://cdnimg.melon.co.kr/cm2/album/images/108/63/559/10863559_20220214160739_500.jpg,https://www.melon.com/album/detail.htm?albumId=10863559
24위,손이 참 곱던 그대,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
25위,A bientot,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
26위,다정히 내 이름을 부르면,경서예지,https://cdnimg.melon.co.kr/cm2/album/images/106/10/525/10610525_20210518143433_500.jpg,https://www.melon.com/album/detail.htm?albumId=10610525
27위,Darl+ing,세븐틴,https://cdnimg.melon.co.kr/cm2/album/images/109/22/231/10922231_20220527120653_500.jpg,https://www.melon.com/album/detail.htm?albumId=10922231
28위,사랑해 진짜,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
29위,듣고 싶을까,MSG워너비(M.O.M),https://cdnimg.melon.co.kr/cm2/album/images/108/80/544/10880544_20220225141002_500.jpg,https://www.melon.com/album/detail.htm?albumId=10880544
30위,ELEVEN,IVE (아이브),https://cdnimg.melon.co.kr/cm2/album/images/107/98/794/10798794_20211201113915_500.jpg,https://www.melon.com/album/detail.htm?albumId=10798794
31위,MY BAG,(여자)아이들,https://cdnimg.melon.co.kr/cm2/album/images/108/90/384/10890384_20220314111504_500.jpg,https://www.melon.com/album/detail.htm?albumId=10890384
32위,연애편지,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
33위,인생찬가,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
34위,사랑역,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
35위,STAY,The Kid LAROI,https://cdnimg.melon.co.kr/cm2/album/images/106/46/395/10646395_20210707141710_500.jpg,https://www.melon.com/album/detail.htm?albumId=10646395
36위,내가 아니라도,주호,https://cdnimg.melon.co.kr/cm2/album/images/108/97/407/10897407_20220323150744_500.jpg,https://www.melon.com/album/detail.htm?albumId=10897407
37위,보금자리,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
