title,comment,score,writer,date
신과함께-인과 연,"그냥 저냥 쏘쏘, 1편 만큼에 감동은 없었다",7,geek****,22.05.23
신과함께-인과 연,마지막 재판씬은 기억남,7,alst****,22.04.28
신과함께-인과 연,영화 재미있게 잘 봄ㅎㅎ,10,sony****,22.04.24
신과함께-인과 연,인물마다 각각의 이야기를 모두 꺼내야하니 끝까지 조급함이 느껴지긴 했지만 성주신을 통해 풀어가는 스토리는 좋았다. 깔끔한 기승전결과 배우들의 연기력이 좋다. 세상에 나쁜사람은 없다 나쁜상황이 있을뿐이라는 성주신의 대사가 기억에 남는다. 한낱 나약한 인간이기에 나쁜상황에 처해 나쁜행동을 했다면 “용서의 기회는 놓치지 말자”,8,srjc****,22.04.07
신과함께-인과 연,원작의 팬으로서 이 작품은 쓰레기라는 평조차 아까울 조차이다이 좋은 이야기를 그저 cg광고를 위한 포트폴리오로 사용한 덱스터 스튜디오에게는 정말....억지 신파에 공감안되는 개발암 주인공을 적절히 섞은 뒤 전체 배우들의 연기가 발연기로 보일정도에 디테일을 위에 끼얹으면 생기는 괴작OO았다,1,tana****,22.03.27
신과함께-인과 연,재밌었어요 감사합니다,10,cmm0****,22.03.26
신과함께-인과 연,재밌었어요 감사합니다,10,cmm0****,22.03.26
신과함께-인과 연,주지훈 연기가 너무 좋았고 1편에 이어서 더 내용과 재미가 커진 것같아서 재미있게 잘 봤습니다감상포인트 는 쥬라기월드,10,juhk****,22.03.26
신과함께-인과 연,주지훈 연기가 너무 좋았고 1편에 이어서 더 내용과 재미가 커진 것같아서 재미있게 잘 봤습니다감상포인트 는 쥬라기월드,10,juhk****,22.03.26
신과함께-인과 연,전 정말 재미있게 봤습니다. 이세상에 악한 인간은 없다는 대사가..잠시 냉정함은 벗고 공감하는 시간을 갖게 했네요.. 좋은 영화였습니다.,8,loli****,22.03.26
신과함께-인과 연,"전개가 정신없는 면이 있었지만, 그 안에 담고 있는 메시지가 너무 좋았고 많이 슬펐어요.",9,shur****,22.03.26
신과함께-인과 연,(1편만 못하다. 죄다 귀인이여,7,luke****,22.03.16
신과함께-인과 연,신과 함께 - 죄와 벌만큼 재밌었다,10,mozz****,22.03.06
신과함께-인과 연,감독이..     누구라고?... 킁,1,tlsg****,22.02.23
신과함께-인과 연,진기한 변호사가 주는 카타르시스를 안느껴본놈들만 별점 10점 준게 확실함.,1,jdc3****,22.02.14
신과함께-인과 연,전편보다 나았음.,7,jong****,22.02.12
신과함께-인과 연,,10,bbbh****,22.02.12
신과함께-인과 연,신과 함께는신파 랑께,4,head****,22.01.31
신과함께-인과 연,억지 감성팔이가 줄어서 좋았습니다,7,acec****,22.01.31
신과함께-인과 연,어쩐지 셋이 찰떡 궁합이더라..,8,dora****,22.01.23
신과함께-인과 연,넷플릭스에서 반쯤 봤는데 시간이 아깝다.,1,salg****,22.01.22
신과함께-인과 연,아 진짜 천만관객 영화인 건 다 이유가 있다 이 말이에요... 주지훈 하정우 김향기는 거를 타선이 없음.. 개그요소도 많아서 재밌게 봤고 역시나 오열했네요... 집에서 담요 뒤집어 쓰고 끅끅댔습니다ㅠㅠㅠㅜ,8,army****,22.01.22
신과함께-인과 연,과거 이야기로 인해 스토리가 엉켜져 있었다.,6,matt****,22.01.21
신과함께-인과 연,완전 재밌음 진짜 인생영화임 특히 해원맥이랑 이덕춘 너무 좋음,10,nahy****,22.01.17
신과함께-인과 연,이게 OOO도 영환데 이때도 부동산버블이라는 대사가 있었는데 이때라도 샀다면..,8,ksip****,22.01.06
신과함께-인과 연,영화를 잘 만들었다. 최고다. 라는 평은... 글을 영상으로 기가막히게 잘 표현하거나... 상상도 못할 새로운 스토리로 원작의 개연성을 보여줘야하는데... 아... 이건 친숙한 배우들과 본듯한 스토리와 엉성한 결말까지... 중간중간 유명한 영화장면까지 배껴놔서... 보는 내내 짜집기한 느낌이라 많이 아쉽네요...차사들이나 귀빈들은 혈연지연학연으로 묶어버리는 센스가... 대단하시네요ㅋ,5,kdgh****,21.12.28
신과함께-인과 연,1편에 이어서 재미있게 잘 봤어요,9,hoho****,21.12.27
신과함께-인과 연,정말 보는 내내 울었던 명작,10,sien****,21.12.25
신과함께-인과 연,주지훈 연기 쥰나 잘함ㅋ주지훈이 이 영화 다 살린거나 다름없음ㅋ,10,pds8****,21.12.19
신과함께-인과 연,,10,phb4****,21.12.09
신과함께-인과 연,1편에는 못따라가지만 재밌었음,9,wild****,21.12.07
신과함께-인과 연,개인적으로는 1편이 더 재밌긴 했지만 이것도 재밌었어요,8,jeno****,21.12.06
신과함께-인과 연,재밌게 잘 봤습니다 ㅎㅎ,8,jemm****,21.11.30
신과함께-인과 연,신파만 좀 줄였더라면...,8,zura****,21.11.29
신과함께-인과 연,오랜만에 재밌게 잘 봤습니다,8,hoh1****,21.11.29
신과함께-인과 연,그냥 그렇네요....,6,wjl1****,21.11.28
신과함께-인과 연,정서적으로도 보다 공감할 수 있는 스토리인 것 같네요.,8,sosi****,21.11.28
신과함께-인과 연,반전의 반전인데 감동,10,sgw0****,21.11.28
신과함께-인과 연,그저 많이 유치하였다.,6,seok****,21.11.27
신과함께-인과 연,전편보단 그나마..,5,yh95****,21.11.27
신과함께-인과 연,짱짱짱짱 진짜 정말 엄청 진짜 정말 엄청 짱 재밌어요!!! 슬프기도 하고 또 감동적이구,10,mj00****,21.11.26
신과함께-인과 연,부모님 보여드렸는데 좋아하시네요,6,bank****,21.11.25
신과함께-인과 연,판타지 불모지에서 이 정도면 충분히 즐길 만한 수작,7,andr****,21.11.24
신과함께-인과 연,덱스터 기술력 홍보용 영화,6,jins****,21.11.24
