제품명,링크,가격,평점,등록일,스펙
엠지텍 트윈보스 S9 PRO MASTER,http://prod.danawa.com/info/?pcode=13943729&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"598,990원",,2021.04.,"로봇청소기  / 흡입+걸레겸용  / [센서] ToF센서  / LDS라이다센서  / 장애물인식센서  / 추락방지센서  / [성능] BLDC모터  / 흡입력 : 3300Pa  / 사용시간(개당) : 4시간10분  / 충전시간 : 4시간30분  / 헤파필터  / 3단계여과  / 소음 : 67dB  / [기능] 스마트폰제어: 원격제어 , 금지구역 , 다층맵핑지원 , 이동동선확인  / 스마트맵핑  / 문턱등반  / 카펫인지  / 자동충전  / 자기위치메모리  / 음성안내  / 리모컨  / [스테이션] 자동먼지비움  / [부가] 먼지통용량 : 0.45L  / 물통용량 : 0.3L  / 색상 : 화이트  / 무게 : 3.6kg  / 크기(가로x세로x깊이): 350x99x350mm"
씽크웨이 ThinkAir RV50 PRO,http://prod.danawa.com/info/?pcode=16990496&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"623,010원",,2022.05.,"로봇청소기  / 흡입+걸레겸용  / [센서] LDS라이다센서  / 자이로센서  / 장애물인식센서  / 추락방지센서  / 범핑센서  / [성능] BLDC모터  / 흡입력 : 4000Pa  / 충전시간 : 2~4시간  / 헤파필터  / 3단계여과  / 소음 : 65dB  / [기능] 스마트폰제어: 원격제어 , 금지구역 , 다층맵핑지원 , 이동동선확인  / 스마트맵핑  / 문턱등반  / 카펫인지  / 자동충전  / 음성안내  / [스테이션] 자동먼지비움  / 먼지용량: 2.5L / [부가] 먼지통용량 : 0.4L  / 물통용량 : 0.22L  / 색상 : 화이트  / 무게 : 3.95kg  / 크기(가로x세로x깊이): 350x971x350mm"
에코백스 디봇 오즈모 T9 (본체+오토엠티스테이션),http://prod.danawa.com/info/?pcode=13863530&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"629,000원",,2021.04.,"로봇청소기  / 흡입+걸레겸용  / [센서] ToF센서  / 장애물인식센서  / 추락방지센서  / [성능] 흡입력 : 3000Pa  / 사용시간(개당) : 3시간  / 충전시간 : 6시간  / [기능] 스마트폰제어: 원격제어 , 금지구역  / 스마트맵핑  / 카펫인지  / 자동충전  / [스테이션] 자동먼지비움  / 먼지용량: 2.5L / [부가] 먼지통용량 : 0.42L  / 물통용량 : 0.18L  / 색상 : 화이트  / 아로마캡슐디퓨저 / 크기(가로x세로x깊이): 353x93.6x353mm"
로보락 S7 MaxV Ultra,http://prod.danawa.com/info/?pcode=16613441&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"1,590,000원",4.9,2022.04.,"로봇청소기 / 흡입+걸레겸용 / [센서] 카메라2개 / LDS라이다센서 / 3D센서 / 장애물인식센서 / [성능] 흡입력: 5100Pa / 사용시간(개당): 3시간 / 충전시간: 3시간40분 / 소음: 64dB / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원, 이동동선확인, 실시간영상, 3D맵핑 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 자기위치메모리 / 물걸레자동리프팅 / 음성안내 / 음성인식 / [스테이션] 자동먼지비움 / 자동걸레세척 / 물통자동급수 / 내부자동청소 / 먼지용량: 2.5L / 정수용량: 3L / [부가] 먼지통용량: 0.47L / 물통용량: 0.2L / 색상: 블랙 / 무게: 4.7kg / LED라이트 / 음파진동물걸레 / 크기(가로x세로x깊이): 353x96.5x350mm"
삼성전자 비스포크 제트 봇 VR30T80313,http://prod.danawa.com/info/?pcode=14056946&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"335,200원",4.7,2021.04.,"로봇청소기 / 흡입전용 / [센서] LDS라이다센서 / 추락방지센서 / [성능] 인버터모터 / 사용시간(개당): 1시간30분 / 충전시간: 4시간 / [기능] 스마트폰제어: 원격제어, 금지구역, 이동동선확인 / 스마트맵핑 / 카펫인지 / 자동충전 / 음성인식 / [부가] 먼지통용량: 0.4L / 색상: 미스티화이트 / 무게: 3.4kg / 크기(가로x세로x깊이): 350x99.8x350mm"
샤오미 로이드미 EVE PLUS,http://prod.danawa.com/info/?pcode=15514976&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"456,720원",4.8,2021.07.,"로봇청소기 / 흡입+걸레겸용 / [센서] ToF센서 / LDS라이다센서 / 추락방지센서 / [성능] 흡입력: 2700Pa / 사용시간(개당): 4시간10분 / 충전시간: 4시간10분 / 헤파필터 / 소음: 60dB / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원 / 스마트맵핑 / 자동충전 / [스테이션] 자동먼지비움 / 먼지용량: 3L / [부가] 먼지통용량: 0.3L / 물통용량: 0.25L / 색상: 화이트, 블랙 / 무게: 3.6kg / 크기(가로x세로x깊이): 350x358x350mm"
아이로봇 브라바 390T,http://prod.danawa.com/info/?pcode=9664170&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"240,320원",4.7,2019.10.,로봇청소기 / 걸레전용 / [센서] 장애물인식센서 / 추락방지센서 / [성능] 사용시간(개당): 3시간30분 / 충전시간: 2시간 / [부가] 색상: 화이트 / 무게: 1.8kg / 크기(가로x세로x깊이): 244x79x214mm
삼성전자 비스포크 제트 봇 VR30T85513,http://prod.danawa.com/info/?pcode=14016683&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"512,450원",4.8,2021.04.,"로봇청소기 / 흡입전용 / [센서] LDS라이다센서 / 추락방지센서 / [성능] 인버터모터 / 사용시간(개당): 1시간30분 / 충전시간: 4시간 / [기능] 스마트폰제어: 원격제어, 금지구역, 이동동선확인 / 스마트맵핑 / 카펫인지 / 자동충전 / 음성인식 / [스테이션] 자동먼지비움 / 먼지용량: 2.5L / [부가] 먼지통용량: 0.3L / 색상: 미스티화이트 / 무게: 3.4kg / 크기(가로x세로x깊이): 350x99.8x350mm"
19V6XSL10H,/ajax/productPot.ajax.php?key=19V6XSL10H,54150원,,,19V6XSL10H54150
에브리봇 쓰리스핀 TS300,http://prod.danawa.com/info/?pcode=14220014&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"349,590원",4.8,2021.05.,로봇청소기 / 걸레전용 / [센서] 장애물인식센서 / 추락방지센서 / 조도센서 / [성능] 사용시간(개당): 2시간 / 충전시간: 2시간40분 / 소음: 43dB / [기능] 리모컨 / 프리볼트 / [부가] 물통용량: 0.3L / 무게: 2.05kg / 패드 : 극세사 / 크기(가로x세로x깊이): 325x99x306mm
로보락 S7 Plus,http://prod.danawa.com/info/?pcode=15140549&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"947,000원",4.8,2021.09.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 추락방지센서 / [성능] 흡입력: 2500Pa / 사용시간(개당): 3시간 / 충전시간: 3시간40분 / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원, 이동동선확인 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 물걸레자동리프팅 / 음성안내 / [스테이션] 자동먼지비움 / [부가] 먼지통용량: 0.47L / 물통용량: 0.3L / 색상: 화이트 / 무게: 4.7kg / 음파진동물걸레 / 크기(가로x세로x깊이): 353x96.5x350mm"
에코백스 디봇 오즈모 T9,http://prod.danawa.com/info/?pcode=13863530&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"778,500원",4.8,2021.04.,"로봇청소기 / 흡입+걸레겸용 / [센서] ToF센서 / 장애물인식센서 / 추락방지센서 / [성능] 흡입력: 3000Pa / 사용시간(개당): 3시간 / 충전시간: 6시간 / [기능] 스마트폰제어: 원격제어, 금지구역 / 스마트맵핑 / 카펫인지 / 자동충전 / [스테이션] 자동먼지비움 / 먼지용량: 2.5L / [부가] 먼지통용량: 0.42L / 물통용량: 0.18L / 색상: 화이트 / 아로마캡슐디퓨저 / 크기(가로x세로x깊이): 353x93.6x353mm"
