영화제목,평점,예매율,개봉일,영화설명,관람등급
헌트,8.5,33.5,22.08.10,"조직 내 숨어든 스파이를 색출하라! `사냥꾼`이 될 것인가, `사냥감`이 될 것인가! 망명을 신청한 북한 고위 관리를 통해 정보를 입수한안기부 해외팀 `박평호`(이정재)와 국내팀 `김정도`(정우성)는조직 내 숨어든 스파이 `동림` 색출 작전을 시작한다.스파이를 통해 일급 기밀사항들이 유출되어 위기를 맞게 되자날 선 대립과 경쟁 속, 해외팀과 국내팀은 상대를 용의선상에 올려두고조사에 박차를 가한다.찾아내지 못하면 스파이로 지목이 될 위기의 상황,서로를 향해 맹렬한 추적을 펼치던 `박평호`와 `김정도`는 감춰진 실체에 다가서게 되고,마침내 `대한민국 1호 암살 작전`이라는 거대한 사건과 직면하게 되는데……하나의 목표, 두 개의 총구의심과 경계 속 두 남자의 신념을 건 작전이 시작된다",15세이상관람가
한산: 용의 출현,8.5,27.7,22.07.27,"나라의 운명을 바꿀 압도적 승리의 전투가 시작된다! 1592년 4월, 조선은 임진왜란 발발 후 단 15일 만에 왜군에 한양을 빼앗기며 절체절명의 위기에 놓인다. 조선을 단숨에 점령한 왜군은 명나라로 향하는 야망을 꿈꾸며 대규모 병역을 부산포로 집결시킨다.한편, 이순신 장군은 연이은 전쟁의 패배와 선조마저 의주로 파천하며 수세에 몰린 상황에서도 조선을 구하기 위해 전술을 고민하며 출전을 준비한다.하지만 앞선 전투에서 손상을 입은 거북선의 출정이 어려워지고, 거북선의 도면마저 왜군의 첩보에 의해 도난당하게 되는데…왜군은 연승에 힘입어 그 우세로 한산도 앞바다로 향하고,이순신 장군은 조선의 운명을 가를 전투를 위해 필사의 전략을 준비한다.1592년 여름, 음력 7월 8일 한산도 앞바다,압도적인 승리가 필요한 조선의 운명을 건 지상 최고의 해전이 펼쳐진다.",12세이상관람가
탑건: 매버릭,9.4,9.3,22.06.22,"한순간의 실수도 용납되지 않는 하늘 위, 가장 압도적인 비행이 시작된다!최고의 파일럿이자 전설적인 인물 매버릭(톰 크루즈)은 자신이 졸업한 훈련학교 교관으로 발탁된다.그의 명성을 모르던 팀원들은 매버릭의 지시를 무시하지만 실전을 방불케 하는 상공 훈련에서 눈으로 봐도 믿기 힘든 전설적인 조종 실력에 모두가 압도된다.매버릭의 지휘아래 견고한 팀워크를 쌓아가던 팀원들에게 국경을 뛰어넘는 위험한 임무가 주어지자매버릭은 자신이 가르친 동료들과 함께 마지막이 될 지 모를 하늘 위 비행에 나서는데…",12세이상관람가
비상선언,6.4,8.9,22.08.03,"‘비상선언’: 재난 상황에 직면한 항공기가 더 이상 정상적인 운항이 불가능하여,무조건적인 착륙을 요청하는 비상사태를 뜻하는 항공 용어베테랑 형사 팀장 인호(송강호)는 비행기 테러 예고 영상 제보를 받고 사건을 수사하던 중용의자가 실제로 KI501 항공편에 타고 있음을 파악한다.딸의 치료를 위해 비행 공포증임에도 불구하고 하와이로 떠나기로 한 재혁(이병헌)은주변을 맴돌며 위협적인 말을 하는 낯선 이가 신경 쓰인다.인천에서 하와이로 이륙한 KI501 항공편에서 원인불명의 사망자가 나오고,비행기 안은 물론 지상까지 혼란과 두려움의 현장으로 뒤바뀐다.이 소식을 들은 국토부 장관 숙희(전도연)는 대테러센터를 구성하고비행기를 착륙시킬 방법을 찾기 위해 긴급회의를 소집하는데…",12세이상관람가
놉,8.2,4.6,22.08.17,"그것은 우리 위에 있다.거대하고, 주목받길 원하고, 미쳤다.나쁜 기적이라는 것도 있을까?",12세이상관람가
DC 리그 오브 슈퍼-펫,6.6,3.8,22.08.10,"슈퍼 히어로가 위험에 빠지면 세상은 누가 구하개~?하룻강아지 시절, 슈퍼맨과 함께 크립톤 행성에서 지구로 오게 된 슈퍼독 ‘크립토’환상의 콤비 슈퍼맨과 힘을 합쳐 메트로폴리스를 지키며 평화로운 일상을 보내던 어느 날,악당 ‘렉스 루터’와 기니피그 ‘룰루’의 계략으로슈퍼맨과 저스티스 리그의 슈퍼 히어로들이 위험에 처한다.절체절명의 순간에 초능력을 잃어버리고만 ‘크립토’는보호소에 떨어진 크립토나이트의 힘으로 어쩌다 슈퍼 펫이 된 유기동물철벽방어 댕댕이 ‘에이스’, 위대한 꿀꿀이 ‘피비’, 초고속 거북이 ‘머튼’, 썬더볼트 다람쥐 ‘칩’에게 도움을 요청하는데… ‘크립토’와 어딘가 어설픈 슈퍼 펫 친구들은 저스티스 리그 멤버들을 구할 수 있을까?슈퍼 히어로 지키는 슈퍼 펫 군단의 파워 댕댕 어드벤처가 온다!",전체관람가
시맨틱 에러: 더 무비,9.1,3.3,22.08.31,"대한민국을 뜨겁게 만든 폭발적 신드롬의 주인공!드라마 [시맨틱 에러]를 극장에서 만난다!컴공과 '아싸' 추상우의 완벽하게 짜인 일상에 에러처럼 나타난 안하무인 디자인과 '인싸' 장재영,극과 극 청춘들의 캠퍼스 로맨스가 스크린으로 펼쳐진다!",12세이상관람가
미니언즈2,6.9,1.7,22.07.20,"오랜마니언!세계 최고의 슈퍼 악당을 꿈꾸는 미니보스 ‘그루’와 그를 따라다니는 미니언들.어느 날 그루는 최고의 악당 조직 ‘빌런6’의 마법 스톤을 훔치는데 성공하지만뉴페이스 미니언 ‘오토’의 실수로 스톤을 잃어버리고 빌런6에게 납치까지 당한다.미니보스를 구하기 위해 잃어버린 스톤을 되찾아야 하는 ‘오토’, 그리고 쿵푸를 마스터해야 하는 ‘케빈’, ‘스튜어트’, ‘밥’!올여름 극장가를 점령할 MCU(미니언즈 시네마틱 유니버스)가 돌아온다!",전체관람가
헤어질 결심,8.1,1.1,22.06.29,"산 정상에서 추락한 한 남자의 변사 사건.담당 형사 `해준`(박해일)은사망자의 아내 `서래`(탕웨이)와 마주하게 된다.“산에 가서 안 오면 걱정했어요, 마침내 죽을까 봐.”남편의 죽음 앞에서 특별한 동요를 보이지 않는 `서래`.경찰은 보통의 유가족과는 다른 `서래`를 용의선상에 올린다.`해준`은 사건 당일의 알리바이 탐문과 신문,잠복수사를 통해 `서래`를 알아가면서그녀에 대한 관심이 점점 커져가는 것을 느낀다.한편, 좀처럼 속을 짐작하기 어려운 `서래`는상대가 자신을 의심한다는 것을 알면서도조금의 망설임도 없이 `해준`을 대하는데….진심을 숨기는 용의자용의자에게 의심과 관심을 동시에 느끼는 형사그들의 <헤어질 결심>",15세이상관람가
바다 탐험대 옥토넛 : 탐험선 대작전,10.0,0.9,22.08.11,"#1. 대왕고래 구조작전이른 아침, 옥토넛 대원들 몰래 탐험에 나섰던 콰지. 그런데 꼬리를 다쳐 가라앉을 위기에 처한 대왕고래를 발견한다?! 옥토넛, 탐험선 A, B, C, D, E, X 타고 지금 바로 총출동! 커다란 그물로 대왕고래를 끌어올리는 특급 작전 시작이다!#2. 신비에 싸인 고래우연히 신비로운 부채이빨부리고래 모자를 발견한 셸링턴과 대쉬. 그런데 엄마 고래가 이빨이 빠져 괴로워하고 있다. 구조와 치료를 위해 탐험선을 타고 총출동하는 옥토넛이지만, 경계심 가득한 고래 모자는 옥토넛의 접근을 쉽게 허락하지 않는데...#3. 바다 탐험대와 유령선심해로 떨어지는 쓰레기를 추적하다 의문의 배를 발견하는 옥토넛. 어디선가 들리는 으스스한 소리에 콰지는 유령선이라며 호들갑이다. 소리의 정체는 과연 무엇일까? 옥토넛 앞에 놓인 배는 정말로 유령선일까?#4. 대서양 참다랑어산란을 위해 지중해로 이동하던 대서양 참다랑어 티나. 그런데 도중에 낚싯바늘이 입에 걸려 무리에서 낙오되고 만다. 티나가 늦지 않게 참다랑어 떼에 다시 합류할 수 있게 하려면 옥토넛의 가장 빠른 탐험선 R의 힘을 빌려야만 한다!#5. 바다 탐험대와 위험천만 먹이 쟁탈전산호초 상어들을 관찰하러 나갔던 셸링턴과 대쉬. 실수로 물고기 비스킷을 흘리자, 배고픈 암초상어들이 정신없이 달려드는데! 꼼짝없이 상어 무리에 갇힌 셸링턴과 대쉬를 구하기 위해 하늘에는 탐험선 H가, 바닷속에는 트윅이 만든 특별한 상어 탐험선이 출동한다!",전체관람가
