평점,작성자,작성시간,공감수,비공감수,평가글
1,나우나우(boha****),2022.08.11 20:15,6,1,유투브처럼 총 5편 스토리로 구성되어있어요옆에 애들은 지겨워하더라구요우리 아들은 잠들뻔함시시하다고합니다탐험선이 막 다 출동하고 그런건줄알았다면 비추 ㅋㅋㅋㄱ
1,진아(eunj****),2022.08.14 13:33,4,0,옥토넛 단편을 엮어두었네요선공개 이런건가요. 예고편이 사기 수준입니다아무리 아이들을 대상으로 한다고 해도 너무 심하네요. 이건 배급사가 문제인가요? 크레딧 올라갈때도 보니 단편 엮어둔거더라구요. 대산호초보호 그밖에 극장판이랑은 다릅니다. 뽀로로 제작배급하는곳이랑 결이 다르네요
1,kunu****,2022.08.14 17:20,3,0,극장판이 아니라 티비판 에피소드 5개를 그냥 연달아 틀어주는데 이건 사기수준이네요 이런건 어떻게 신고해야하죠?
1,효충(mir1****),2022.08.15 16:30,2,0,애들영화에 리뷰달거라  생각도 못했는데 이건 진짜 너무 아닌거 같아서 리뷰 씀니다. 티비보던 아이가 옥토넛이 새로 개봉한다길래 진심 불의고리나 동굴탐험 같은 극장판 장편애니라 생각하고 예매해서 새벽 같이 보러 갔는데...보는 내내 어이없었음..너튜브 에서나 볼것같은 에피소드 모음 같은거 극장스크린으로 보는거였음. 휴가 막바지에 애들 상대로 이건 진짜 아닌듯..이건 iptv로 결재했어도 화났을것 같아요아가들은 그래도 극장와서 팝콘 먹고 몬가봤다고 좋아는 하내요. 미니언즈나볼걸 ㅡㅡㅋ
1,부자아빠(holl****),2022.08.15 10:38,2,0,새로운 극장판이 아닙니다기존 티비에서 방영한 에피소드를 5개 모아논거에요유투브 옥토넛을 영화관에서돈내고 본다고 생각하시면 됩니다
1,구리야새댁(alsl****),2022.08.15 17:27,1,0,5개 에피소드로 구성되어있고.티비에서 늘 보던 스토리라 아이도 지루해하던데요.그냥 집에서 유튜브로 보여줄껄 그랬어요.영화관에서 보는거라 다를 줄 알았더니. 리뷰보고 갈껄 그랬어요. 아이 둘 저까지 세명보고 왔는데 돈 아까워요.
1,둥둥둥(ende****),2022.08.15 15:49,1,0,극장판인줄 알고 지인까지 데리고 왔는데 ㅠ 그냥 tv 에피소드 다섯개 묶어서 보여주네요... 최소한 새로운 에피소드 선공개이기라도 한건가요??? 리뷰 보고 올걸 당황스럽네요. 애는 극장 와서 과자 먹으니 좋아하는데 영화는 농락당한 기분이에요.
1,태주니(juny****),2022.08.14 20:08,1,0,댓글 좀 보고 볼껄...보기전에 이글을 봤다면 당신은 돈 벌었다고 생각하라
1,원우(tjfl****),2022.08.14 19:28,1,0,이게 극장판 맞나요?ㅠㅠ
5,좋은날(9505****),2022.08.16 15:36,0,0,옥터넛을 좋아하는 8살아들이 짧은거 여러개 말고긴거 하나 보고싶다고 얘기했어요유튜브 이어보기를영화관 큰화면에미러링해서 보는 느낌이었어요
