팀1이름,팀2이름,팀1점수,팀2점수
넥센,두산,2,4
SK,한화,4,3
LG,롯데,1,4
KIA,삼성,4,3
삼성,SK,9,3
롯데,넥센,2,4
LG,두산,2,3
한화,KIA,1,4
삼성,SK,0,3
롯데,넥센,4,9
LG,두산,1,5
한화,KIA,7,4
삼성,SK,6,2
롯데,넥센,1,0
LG,두산,0,4
한화,KIA,2,0
롯데,한화,11,1
LG,SK,4,5
KIA,삼성,3,4
넥센,한화,4,7
삼성,LG,4,6
두산,롯데,8,3
KIA,SK,2,1
롯데,한화,9,8
넥센,두산,1,4
KIA,삼성,0,3
LG,SK,3,1
넥센,한화,11,5
삼성,LG,0,3
두산,롯데,1,0
SK,롯데,4,8
두산,KIA,3,0
한화,넥센,5,6
삼성,LG,6,2
넥센,한화,6,7
삼성,LG,0,2
두산,롯데,3,2
KIA,SK,1,3
삼성,LG,5,4
SK,롯데,2,6
두산,KIA,2,6
한화,넥센,4,5
넥센,삼성,9,3
SK,두산,7,8
LG,한화,3,5
KIA,롯데,3,2
삼성,LG,7,2
SK,롯데,5,0
두산,KIA,3,6
한화,넥센,2,5
넥센,삼성,2,6
LG,한화,4,11
KIA,롯데,4,1
넥센,삼성,3,1
두산,SK,2,6
롯데,LG,6,4
KIA,한화,1,4
넥센,삼성,6,9
SK,두산,2,6
LG,한화,7,11
KIA,롯데,2,3
넥센,삼성,6,5
두산,SK,1,5
롯데,LG,3,5
KIA,한화,9,4
SK,넥센,3,2
두산,KIA,3,4
롯데,LG,3,4
한화,삼성,0,3
넥센,삼성,2,7
두산,SK,1,4
롯데,LG,7,0
KIA,한화,0,4
두산,KIA,4,5
한화,삼성,3,4
SK,KIA,2,1
롯데,삼성,9,5
LG,넥센,9,4
한화,두산,4,3
한화,삼성,4,5
LG,넥센,3,7
한화,두산,1,5
넥센,LG,4,0
삼성,KIA,1,7
두산,한화,4,5
롯데,SK,3,6
SK,KIA,4,1
롯데,삼성,0,2
LG,넥센,1,6
한화,두산,6,8
넥센,LG,5,1
삼성,KIA,6,3
롯데,SK,6,7
삼성,한화,8,6
SK,넥센,6,4
LG,두산,3,8
KIA,롯데,3,7
삼성,KIA,13,2
두산,한화,3,6
삼성,한화,3,6
SK,넥센,10,12
LG,두산,6,5
KIA,롯데,4,8
한화,롯데,1,5
삼성,한화,4,2
SK,넥센,3,2
LG,두산,5,2
KIA,롯데,3,4
한화,롯데,5,3
넥센,한화,4,5
삼성,SK,1,4
두산,롯데,10,4
KIA,LG,9,10
삼성,두산,5,4
LG,SK,0,11
KIA,넥센,8,2
한화,롯데,2,9
넥센,한화,1,8
삼성,SK,6,7
KIA,LG,1,0
SK,삼성,3,6
롯데,두산,4,3
LG,KIA,0,5
한화,넥센,10,6
넥센,한화,4,5
삼성,SK,1,2
KIA,LG,3,6
롯데,두산,9,3
LG,KIA,5,1
한화,넥센,2,6
SK,두산,6,3
롯데,넥센,9,2
LG,삼성,2,7
한화,KIA,6,1
SK,삼성,4,8
롯데,두산,9,6
LG,KIA,0,5
한화,넥센,4,2
SK,두산,5,6
롯데,넥센,5,2
LG,삼성,4,1
한화,KIA,7,10
SK,두산,11,2
롯데,넥센,4,12
LG,삼성,7,3
한화,KIA,7,3
삼성,넥센,5,2
두산,SK,3,4
롯데,한화,11,4
KIA,LG,2,4
넥센,KIA,3,4
두산,삼성,7,6
한화,LG,4,3
삼성,넥센,4,2
두산,SK,12,3
롯데,한화,7,3
KIA,LG,0,3
넥센,KIA,7,0
두산,삼성,7,0
롯데,SK,2,5
한화,LG,8,4
삼성,넥센,5,3
두산,SK,4,9
롯데,한화,11,4
KIA,LG,8,0
넥센,KIA,6,7
두산,삼성,3,7
롯데,SK,1,2
한화,LG,13,1
넥센,KIA,1,3
삼성,롯데,4,7
SK,한화,4,2
두산,LG,6,3
넥센,LG,3,4
삼성,롯데,3,4
두산,한화,4,3
KIA,SK,7,9
넥센,KIA,1,2
삼성,롯데,2,5
SK,한화,2,7
두산,LG,6,5
넥센,LG,1,0
삼성,롯데,4,3
두산,한화,2,3
KIA,SK,1,4
넥센,KIA,5,0
삼성,롯데,5,7
SK,한화,16,2
두산,LG,4,7
삼성,롯데,17,3
넥센,LG,7,8
두산,한화,3,4
KIA,SK,3,4
넥센,SK,2,4
LG,롯데,3,8
KIA,삼성,3,7
한화,두산,1,6
넥센,삼성,5,6
SK,한화,8,4
LG,롯데,0,8
KIA,두산,6,2
넥센,SK,0,8
LG,롯데,3,2
