title,originallink,description,pubDate
"[속보] 코로나19 신규 확진 17만 8,574명…해외유입 역대 최다",https://news.kbs.co.kr/news/view.do?ncd=5535687&amp;ref=A,"코로나19 신규 확진자 수가 17만 명대로 집계됐습니다. 이 가운데 해외 유입 사례는 633명으로 역대 가장 많았습니다. 중앙방역대책본부는 오늘(18일) 0시 기준 코로나19 신규 확진자가 17만 8,574명이라고...","Thu, 18 Aug 2022 09:26:00 +0900"
코로나19 신규확진 17만8574명… 위중증 470명·사망61명,https://biz.chosun.com/topics/topics_social/2022/08/18/HL3ZG7LHVFGX3DAMXD75JSBGZA/?utm_source=naver&utm_medium=original&utm_campaign=biz,"국내 신종 코로나바이러스 감염증(코로나19) 일일 확진자 수가 17만8574명을 기록했다. 사망자는 61명 증가했으며, 위중증 환자는 470명을 기록했다. 중앙방역대책본부는 이날 0시 기준 신규 확진자가...","Thu, 18 Aug 2022 09:31:00 +0900"
"[속보] 코로나19 신규 확진 17만 8,574명…사망 61명",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4825888,기준 코로나19 신규 확진자 수가 18만 명을 넘어선 데 이어 오늘 발표에서도 18만 명에 육박했습니다. 이번 재유행의 정점으로 예측된 하루 20만 명에 가까워지고 있는 겁니다. 오늘(18일) 0시 기준 코로나19 신규...,"Thu, 18 Aug 2022 09:30:00 +0900"
코로나19 확진자 18주 만에 최다…정부 “주말 당직병원 운영”,https://www.hani.co.kr/arti/society/health/1055083.html,코로나19 신규 확진자가 18만명대를 넘어 지난 4월 중순 이후 18주 만에 최다 규모로 나타났다. 정부는... 정부는 오는 20일부터 내달 25일까지 수도권 상급종합병원을 중심으로 주말에도 중증 코로나19 환자에게 신속히...,"Wed, 17 Aug 2022 15:45:00 +0900"
"美 질 바이든 여사, 코로나19 확진",https://www.seoul.co.kr/news/newsView.php?id=20220817500001&wlog_tag3=naver,지난달 감염 후 회복된 바이든은 ‘음성’ 조 바이든 미국 대통령의 부인인 질 바이든 여사가 16일(현지시간) 코로나19에 걸렸다. 백악관은 이날 성명을 통해 바이든 여사가 코로나19 검사에서 양성판정을 받았다고...,"Wed, 17 Aug 2022 00:05:00 +0900"
[속보]거리두기 전면해제 후 코로나19 재유행…18일 신규 확진자 17만8574명,http://www.kwnews.co.kr/page/view/2022081809400509904,거리두기 전면해제 후 코로나19 재유행으로 18일 신규 확진자 수가 이틀째 10만명대 후반을 기록했다. 중앙방역대책본부는 이날 0시 기준으로 코로나19 확진자가 17만8천574명 늘어 누적 2천186만1천296명이...,"Thu, 18 Aug 2022 09:41:00 +0900"
코로나 만기연장에 6월 은행대출 연체율 0.2%…역대 최저,https://www.yna.co.kr/view/AKR20220817070100002?input=1195m,특히 코로나19로 피해를 본 소상공인의 대출에 대한 만기 연장과 상환 유예 조처가 이어지면서 연체율 하락의 직접적인 배경으로 작용하고 있다. 이 조처는 오는 9월 말 종료를 앞두고 있다. 6월 신규 연체 발생액은...,"Wed, 17 Aug 2022 12:01:00 +0900"
코로나 백신 맞고 월경장애…최대 5000만원 지원받는다,http://news.mk.co.kr/newsRead.php?no=725162&year=2022,"코로나19 백신 접종 후 월경장애를 겪어온 여성들이 1인당 의료비로 최대 5000만원을 지원받을 수 있게 됐다.... 지난 11일 대한민국의학한림원 코로나19백신안전성위원회가 빈발 월경 및 출혈, 이상자궁출혈 발생 위험이...","Tue, 16 Aug 2022 23:38:00 +0900"
이번엔 질 바이든 여사 코로나19 확진…바이든은 음성,https://www.donga.com/news/article/all/20220817/114999734/1,조 바이든 미국 대통령(80)이 지난 달 두 차례 신종 코로나바이러스 감염증(코로나19) 확진 판정을 받은 데 이어 부인 질 여사(71) 또한 16일(현지 시간) 감염됐다. 바이든 대통령과 마찬가지로 질 여사 또한 코로나19 백신...,"Wed, 17 Aug 2022 16:29:00 +0900"
"""코로나 치료공백 막는다""…수도권 주말 당직병원 가동",http://www.newsis.com/view/?id=NISX20220817_0001980963&cID=10201&pID=10200,코로나19 재유행에 따라 중증 기저질환자 등이 주말에도 병상을 신속하게 배정받을 수 있도록 하는 조치다. 중앙재난안전대책본부(중대본)는 17일 정례 브리핑을 통해 수도권에 코로나19 지정병상을 운영 중인 18개 병원...,"Wed, 17 Aug 2022 11:04:00 +0900"
