title,originallink,link,description,pubDate
"美 질 바이든 여사, 코로나19 확진",https://www.seoul.co.kr/news/newsView.php?id=20220817500001&wlog_tag3=naver,https://n.news.naver.com/mnews/article/081/0003294906?sid=104,지난달 감염 후 회복된 바이든은 ‘음성’ 조 바이든 미국 대통령의 부인인 질 바이든 여사가 16일(현지시간) 코로나19에 걸렸다. 백악관은 이날 성명을 통해 바이든 여사가 코로나19 검사에서 양성판정을 받았다고... ,"Wed, 17 Aug 2022 00:05:00 +0900"
코로나 대출 착시효과 '여전'… 6월 은행 연체율 0.2% '역대 최저',http://moneys.mt.co.kr/news/mwView.php?no=2022081713380092095,https://n.news.naver.com/mnews/article/417/0000843555?sid=101,은행들의 부실 위험이 낮아졌다기보단 2020년부터 확산한 신종 코로나바이러스 감염증(코로나19)으로 은행들이 소상공인과 자영업자 등을 대상으로 대출 만기연장과 이자 상환유예 조치 등 금융지원책을 지속한... ,"Wed, 17 Aug 2022 13:44:00 +0900"
"코로나19 백신 접종 후 월경장애…""최대 5,000만원 지원""",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4825041,https://n.news.naver.com/mnews/article/057/0001683987?sid=102,"코로나19 백신을 맞은 뒤 월경장애를 겪은 여성들은 최대 5,000만 원까지 의료비를 지원 받을 수 있게... 출혈)'을 코로나19 백신 '관련성 의심' 질환으로 추가하기로 의결했습니다. '관련성 의심' 질환이란 코로나19... ","Wed, 17 Aug 2022 07:48:00 +0900"
코로나 백신 맞고 월경장애…최대 5000만원 지원받는다,http://news.mk.co.kr/newsRead.php?no=725162&year=2022,https://n.news.naver.com/mnews/article/009/0005005203?sid=102,"코로나19 백신 접종 후 월경장애를 겪어온 여성들이 1인당 의료비로 최대 5000만원을 지원받을 수 있게 됐다.... 지난 11일 대한민국의학한림원 코로나19백신안전성위원회가 빈발 월경 및 출혈, 이상자궁출혈 발생 위험이... ","Tue, 16 Aug 2022 23:38:00 +0900"
코로나 만기연장에 6월 은행대출 연체율 0.2%…역대 최저,https://www.yna.co.kr/view/AKR20220817070100002?input=1195m,https://n.news.naver.com/mnews/article/001/0013380200?sid=101,특히 코로나19로 피해를 본 소상공인의 대출에 대한 만기 연장과 상환 유예 조처가 이어지면서 연체율 하락의 직접적인 배경으로 작용하고 있다. 이 조처는 오는 9월 말 종료를 앞두고 있다. 6월 신규 연체 발생액은... ,"Wed, 17 Aug 2022 12:01:00 +0900"
'백신 4차 접종 완료' 화이자 CEO 코로나19 양성 판정,https://www.ytn.co.kr/_ln/0104_202208160130381277,https://n.news.naver.com/mnews/article/052/0001777096?sid=104,코로나19 양성 판정을 받았습니다. 불라 대표는 성명에서 화이자 백신을 4차까지 접종한 데 대해 감사한 마음이라며 매우 가벼운 증상을 겪고 있지만 상태가 좋다고 말했습니다. 또 역시 화이자에서 개발한 먹는 코로나19... ,"Tue, 16 Aug 2022 01:30:00 +0900"
"美, 이번에는 '영부인' 질 바이든 코로나 양성 판정",http://www.newsis.com/view/?id=NISX20220816_0001980418&cID=10101&pID=10100,https://n.news.naver.com/mnews/article/003/0011366384?sid=104,여사가 코로나19에 확진됐다. 바이든 여사 측 엘리자베스 알렉산더 공보국장은 16일(현지시간) 성명을 내고 이같이 밝혔다. 바이든 대통령이 지난달 코로나19에 감염된 데 이어 배우자인 바이든 여사도 확진을 피해가지... ,"Tue, 16 Aug 2022 23:38:00 +0900"
코로나 백신 접종 뒤 ‘잦은 생리·과다출혈’ 의료비 지원한다,https://www.hani.co.kr/arti/society/health/1054985.html,https://n.news.naver.com/mnews/article/028/0002602618?sid=102,"코로나19 백신을 접종받은 뒤 월경이 잦아지거나, 출혈량이 정상 범위를 넘는 등 ‘이상자궁출혈’이 있다면... 이상자궁출혈을 코로나19 백신 ‘관련성 의심 질환’에 추가했다. 백신 접종 뒤 이상반응이 발생한 시기를... ","Tue, 16 Aug 2022 19:57:00 +0900"
"화이자CEO, 백신 4번 접종에도 코로나 확진…“아주 가벼운 증상”",http://www.munhwa.com/news/view.html?no=2022081601039910019002,https://n.news.naver.com/mnews/article/021/0002526515?sid=104,"자사 치료제 팍스로비드로 치료중 ""상태 좋다...빠른 회복 자신한다"" 바이든도 4차 접종 불구 확진 사례 코로나19 백신을 제조하는 미국 제약사 화이자의 앨버트 불라 CEO가 코로나19 양성 판정을 받았다. 그는 백신을... ","Tue, 16 Aug 2022 03:41:00 +0900"
"“‘네버 코비드’, ‘코로나 비감염’으로 쓰세요”",https://news.kbs.co.kr/news/view.do?ncd=5533961&amp;ref=A,https://n.news.naver.com/mnews/article/056/0011321615?sid=103,문화체육관광부와 국립국어원은 '네버 코비드'를 대체할 쉬운 우리말로 '코로나 비감염'을 선정했다고 밝혔습니다. '네버 코비드'는 코로나19에 한 번도 걸리지 않은 상태나 한 번도 걸리지 않은 사람을 이르는 말입니다.... ,"Tue, 16 Aug 2022 15:32:00 +0900"
"올해 수능 원서접수 18일부터…코로나 확진자, 대리접수 가능",https://www.yna.co.kr/view/AKR20220816073900530?input=1195m,https://n.news.naver.com/mnews/article/001/0013377639?sid=102,"코로나19 확진 수험생과 고3 장애인 수험생은 대리접수를 할 수 있다. 교육부는 이달 18일부터 9월 2일까지... 다만, 코로나19 확진 등으로 격리 통보를 받은 수험생, 장애인(시험편의제공대상자), 수형자, 군 복무자, 입원... ","Tue, 16 Aug 2022 12:01:00 +0900"
"""영국, AZ 코로나19 백신 추가 구매 계획 없어""",https://www.yna.co.kr/view/AKR20220817004100085?input=1195m,https://n.news.naver.com/mnews/article/001/0013379145?sid=104,최윤정 특파원 = 영국이 아스트라제네카의 코로나19 백신을 추가 주문할 계획이 없는 것으로 확인됐다고 가디언이 16일(현지시간) 보도했다. 가디언에 따르면 영국 보건부는 아스트라제네카 코로나19 백신 추가... ,"Wed, 17 Aug 2022 03:53:00 +0900"
"""코로나 치료공백 막는다""…수도권 주말 당직병원 가동",http://www.newsis.com/view/?id=NISX20220817_0001980963&cID=10201&pID=10200,https://n.news.naver.com/mnews/article/003/0011367161?sid=102,코로나19 재유행에 따라 중증 기저질환자 등이 주말에도 병상을 신속하게 배정받을 수 있도록 하는 조치다. 중앙재난안전대책본부(중대본)는 17일 정례 브리핑을 통해 수도권에 코로나19 지정병상을 운영 중인 18개 병원... ,"Wed, 17 Aug 2022 11:04:00 +0900"
"코로나19 신규확진 18만803명, 18주 만에 최고… 위중증 469명",https://biz.chosun.com/topics/topics_social/2022/08/17/5HTTGLKHEVHJFMQLKCEA4BXUEY/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0000834623?sid=102,"국내 신종 코로나바이러스 감염증(코로나19) 일일 확진자 수가 18만803명을 기록하며 지난 4월 중순 이후 최다치를 기록했다. 사망자는 42명 증가했으며, 위중증 환자는 469명을 기록했다. 중앙방역대책본부는... ","Wed, 17 Aug 2022 09:31:00 +0900"
美영부인 질 바이든 코로나…'밀접 접촉' 바이든 음성(종합),http://www.newsis.com/view/?id=NISX20220817_0001980429&cID=10101&pID=10100,https://n.news.naver.com/mnews/article/003/0011366396?sid=104,여사가 코로나19에 확진됐다. 바이든 여사 측 엘리자베스 알렉산더 공보국장은 16일(현지시간) 성명을 내고 이같이 밝혔다. 바이든 대통령이 지난달 코로나19에 감염된 데 이어 배우자인 바이든 여사도 확진을 피해가지... ,"Wed, 17 Aug 2022 00:16:00 +0900"
수도권 주말 코로나19 당직병원 운영…산모 등 고위험환자 대응(종합),https://www.yna.co.kr/view/AKR20220817029351530?input=1195m,https://n.news.naver.com/mnews/article/001/0013380136?sid=102,중증 코로나19 환자에게 신속히 병상을 배정하도록 하기 위한 당직 병원이 운영된다. 코로나19 중앙재난안전대책본부(중대본)는 17일 김성호 제2총괄조정관(행정안전부 재난안전관리본부장) 주재로 개최한 회의에서... ,"Wed, 17 Aug 2022 11:53:00 +0900"
코로나19 확진자 18주 만에 최다…정부 “주말 당직병원 운영”,https://www.hani.co.kr/arti/society/health/1055083.html,https://n.news.naver.com/mnews/article/028/0002602715?sid=102,코로나19 신규 확진자가 18만명대를 넘어 지난 4월 중순 이후 18주 만에 최다 규모로 나타났다. 정부는... 정부는 오는 20일부터 내달 25일까지 수도권 상급종합병원을 중심으로 주말에도 중증 코로나19 환자에게 신속히... ,"Wed, 17 Aug 2022 15:45:00 +0900"
"美 퍼스트레이디 질 바이든 여사, 휴가 중 코로나 확진",https://biz.chosun.com/international/international_general/2022/08/16/Z5A2GJU5XZAEDD2NGNDT3VF7TA/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0000834557?sid=104,조 바이든 미국 대통령의 부인인 질 바이든 여사가 16일(현지 시각) 신종 코로나바이러스 감염증(코로나19)에 걸렸다. 백악관은 이날 성명을 통해 바이든 여사가 코로나19 검사에서 양성판정을 받았다고 밝혔다.... ,"Tue, 16 Aug 2022 23:20:00 +0900"
