제목,평점,개요,감독,출연
리볼버,5.25,"범죄, 드라마",가이 리치,"제이슨 스타뎀, 레이 리오타"
녹턴,0.00,다큐멘터리,정관조,
풀타임,8.67,"드라마, 스릴러",에리크 그라벨,"로르 칼라미, 앤 수아레즈, 제네비에브 무니치, 시릴 구이"
파로호,9.00,스릴러,임상수,"이중옥, 김대건"
투란도트 어둠의 왕국,0.00,뮤지컬,김시우,"배다해, 민우혁, 양서윤"
귀멸의 칼날: 남매의 연,6.80,애니메이션,소토자키 하루오,"하나에 나츠키, 키토 아카리, 시모노 히로, 마츠오카 요시츠구"
기도의 숨결,0.00,다큐멘터리,"세실 베스노, 이반 마시카",
놉,6.59,"미스터리, 공포",조던 필,"다니엘 칼루야, 케케 파머, 스티븐 연, 마이클 윈콧, 브랜든 페레아, 바비 페레이라"
바다 탐험대 옥토넛 : 탐험선 대작전,2.98,"애니메이션, 액션, 모험",스테파니 심슨,"하성용, 정재헌, 엄상현, 윤승희, 김율, 유동균, 김정은, 한경화"
"굿 럭 투 유, 리오 그랜드",7.51,"드라마, 코미디",소피 하이드,"엠마 톰슨, 다릴 맥코맥"
멋진 세계,8.30,드라마,니시카와 미와,"야쿠쇼 코지, 나가사와 마사미"
뱅크시,9.07,다큐멘터리,엘리오 에스파냐,"뱅크시, 벤 아인, 스티브 라자리데스, 존 네이션, 펠릭스 ‘FLX’ 브론, 알란 KET, 스케이프 마르티네즈, RISK"
모퉁이,9.07,드라마,신선,"이택근, 하성국, 박봉준"
카우,8.42,다큐멘터리,안드레아 아놀드,
유나바머: 테드 K,8.50,"범죄, 드라마",토니 스톤,"샬토 코플리, 드류 포웰"
헌트,8.48,"액션, 드라마",이정재,"이정재, 정우성"
DC 리그 오브 슈퍼-펫,7.83,"애니메이션, 액션, 모험","자레드 스턴, 샘 J. 레빈","드웨인 존슨, 케빈 하트, 키아누 리브스, 존 크래신스키"
극장판 살아남기 시리즈: 인체에서 살아남기,9.39,애니메이션,"나스카와 미츠루, 이리요시 사토루","김현지, 여민정, 남도형"
베르히만 아일랜드,7.64,"멜로/로맨스, 드라마",미아 한센-러브,"빅키 크리엡스, 팀 로스, 미아 와시코브스카, 앤더스 다니엘슨 리"
보일링 포인트,8.05,"드라마, 스릴러",필립 바랜티니,스테판 그레이엄
비상선언,6.77,드라마,한재림,"송강호, 이병헌, 전도연, 김남길, 임시완, 김소진, 박해준"
극장판 도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021,8.99,애니메이션,야마구치 스스무,"윤아영, 김정아, 이현주, 조현정, 최낙윤"
뽀로로 극장판 드래곤캐슬 대모험,9.17,애니메이션,"강승훈, 윤제완","이선, 이미자, 김현지, 홍소영, 정미숙, 김서영, 김환진, 소연, 김혜성, 이장원, 사문영, 엄상현"
초록밤,8.73,,윤서진,"이태훈, 김민경, 강길우, 김국희, 오민애, 원미원, 변은영"
임파서블 러브,8.50,"드라마, 멜로/로맨스",카트린 코르시니,"비르지니 에피라, 니엘스 슈나이더, 제니 베스"
배드 럭 뱅잉,6.16,"드라마, 코미디",라두 주데,"카티아 파스칼리우, 클라우디아 이레미아, 올림피아 말라이, 니코딤 웅그레아누"
한산: 용의 출현,8.81,"액션, 드라마",김한민,"박해일, 변요한, 안성기, 손현주, 김성규, 김성균, 김향기, 택연, 공명, 박지환, 조재윤"
아이를 위한 아이,8.56,,이승환,"현우석, 박상훈, 정웅인"
미니언즈2,7.68,"애니메이션, 모험, 코미디",카일 발다,"스티브 카렐, 타라지 P. 헨슨, 양자경, 루시 로리스, 장 끌로드 반담"
외계+인 1부,7.45,"액션, 판타지, SF",최동훈,"류준열, 김우빈, 김태리, 소지섭, 염정아, 조우진, 김의성"
썸머 필름을 타고!,7.58,"멜로/로맨스, SF",마츠모토 소우시,"이토 마리카, 카네코 다이치, 이노리 키라라, 카와이 유미"
스파이형 모델,7.00,SF,김영일,"주종혁, 이아주, 장현동, 이병수, 박진수"
로스트 도터,7.71,드라마,매기 질렌할,"올리비아 콜맨, 다코타 존슨, 제시 버클리"
