title,description,bloggername,bloggerlink,postdate
코로나로 사라지는 도쿄의 클럽들,"일본생활/+++일본현지생활 코로나로 사라지는 도쿄의 클럽들 vinylsm 2022. 8. 6. 10:45 코로나로 대면접촉이 제한되고, 불필요한 모임자체를 가지는게 반강제적으로 금기시 되어왔다. 코로나 초기만 해도 1년...",끄적끄적,https://vinyl.tistory.com/,20220806
코로나 투병 일기(ft. 수액),"네,,, 결국 저는 코로나였던 것이었습니다,, 지난 블챌 일기에서 많이들 걱정해주셨는데 결국 그렇게... 나서 코로나 검사를 안 하고 오면 링거를 안 놔준다고 하더라구요ㅎ 저는 목통증이 없어서 당연히 코로롱...",아샤의 별별기록,https://blog.naver.com/ippog0510,20220814
강아지 코로나 면역력 키우는 오델리캔서!,"제가 한번 코로나로 고생을 하고 나니 우리 쵸파의 건강이 걱정이 되더라고요. 댕댕이들이 코로나는 잘 걸리지 않는다고 하지만, 그래도 사례가 있다고 하니 저도 강아지 코로나 예방을 해야겠단 생각이...",ㅋ.ㅋ,https://blog.naver.com/manpwup,20220729
코로나확진 코로나증상 기록,코로나 확진이라니 믿을수가 없었고 믿고 싶지 않았다만 한가정의 엄마사람으로써 엄마혼자 격리된다는 그 어려운 것을 제가 해냈습니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ #5일만에종료 지난 #코로나증상기록...,"모로롸 일상,리뷰",https://blog.naver.com/choiseula,20220814
아기 코로나 ; 7일간의 코로나 격리,"그런 아가가 코로나에 걸렸다. 이전 코로나 대란(?) 아주 많이 생겼을 때도 잘 피해가서 ""우린 슈퍼면역인가봐"" 라고 호들갑을 떨었는데..... 이번에! 제대로 걸렸다. 아빠, 엄마, 아가까지 세식구 모두 아기...",Road to richmom,https://blog.naver.com/drara1129,20220801
주간일기 8월 세째주 #11 코로나 확진,코로나19 확진 판정 2022. 08. 14 8월 14일 코로나 확진 판정을 받은 날이다. 공교롭게도 내 생일날이다. 토요일 오후까지 아무 문제 없는 듯 했다. (그럼에도 가만히 뒤돌아 생각해 보면 몇 가지 증상들이 있었던 것...,걷는 나그네,https://blog.naver.com/zion0228,20220816
코로나방역 업체 믿고 맡겨본 후기,이 정도로 코로나가 오래동안 지속이 될지는 정말 예측도 하지 못했었습니다. 그저 쉽게 금방 끝이... 하지만 제가 이번만큼은 진짜 믿고 쓸만한 코로나방역 업체를 만나게 된 것 같답니다. 일말의 불안감도...,그로테스크님의 블로그,https://blog.naver.com/jee2046,20220730
코로나 생활지원금 대상 신청 입금은 언제?,정부가 현재 코로나 생활지원금을 지급하는 기준은 「감염병의 예방 및 관리에 관한 법률」제70조의... 코로나 생활지원금 대상은? 앞서 말씀드렸듯이 국회에서 입법한 법률과 그리고 정부에서 정한 규칙에...,핀퐁 : 당신의 경제 나침반,https://blog.naver.com/topjoys,20220815
코로나 확진 1일차 기록 증상까지,잇님들~ 신짱왔어요>< 네 ... .신짱 블로그에 코로나라는 폴더를 만들줄이야 ... ㅠㅠㅠㅠ 아무리 스쳐도 걸리는게 코로나라고 하지만 .. 하필 이렇게 중요한 시점에 걸릴줄은.. ㅠㅠㅠ 오늘부터 코로나 증상기록을...,신짱의 소소한 일상♥,https://blog.naver.com/555__555,20220816
코로나 격리해제 앞두고 쓰는 백잎일상,"울 애들 코로나19 격리해제 바로 코앞! 아...그동안 고생 많았다,나 새끼. 그리고 힘들어보니... 엄마가 코로나19 음성인 이유는 밥하라고 그랬나봐요. 정말 열심히 잘도 해먹이는 엄마. 오늘부터 다시 수면제...",백잎클로버의 1+2 이야기,https://blog.naver.com/djpinky,20220816
[청주보이차] 보이차가 코로나 미치는 영향,남일같던 코로나를 겪고 일상으로 복귀했어요 긴가민가 하던차에 발을 다쳐서 응급실 갔더니 38.1도라며 코로나 검사를 했어요 음압실로 옮겨져서 처치를 기다리고 있는데 예쁜 간호사분이 오셔서 나즈막하고...,인생 찻집 지유명차 청주점,https://blog.naver.com/moka3076,20220723
코로나 재감염 증상 및 치명률(사망 위험 2배),어제인 7월 19일 코로나 확진자는 7만 명을 넘었습니다. 안타까운 건 처음 확진된 분들도 계시지만 재감염자가 많다는 겁니다. 현재 코로나 재감염 증상은 사망 위험이 2배라는 발표가 나오고 있습니다. 오늘은...,건강 한 삶..,https://blog.naver.com/thro4321,20220720
