,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,target
0,0.03427,0,5.19,0,0.515,5.869,46.3,5.2311,5,224,20.2,396.9,9.8,20.515010728917986
1,0.03041,0,5.19,0,0.515,5.895,59.6,5.615,5,224,20.2,394.81,10.56,19.976091977533542
2,0.03306,0,5.19,0,0.515,6.059,37.3,4.8122,5,224,20.2,396.14,8.51,22.07743581052256
3,0.05497,0,5.19,0,0.515,5.985,45.4,4.8122,5,224,20.2,396.9,9.74,21.578503115340325
4,0.06151,0,5.19,0,0.515,5.968,58.5,4.8122,5,224,20.2,396.9,9.29,20.635770719305185
5,0.01301,35,1.52,0,0.442,7.241,49.3,7.0379,1,284,15.5,394.74,5.49,33.09434574708517
6,0.02498,0,1.89,0,0.518,6.54,59.7,6.2669,1,422,15.9,389.96,8.65,19.419912111967946
7,0.02543,55,3.78,0,0.484,6.696,56.4,5.7321,5,370,17.6,396.9,7.18,27.248365632130003
8,0.03049,55,3.78,0,0.484,6.874,28.1,6.4654,5,370,17.6,387.97,4.61,33.45943580677745
9,0.03113,0,4.39,0,0.442,6.014,48.5,8.0136,3,352,18.8,385.64,10.53,20.674327477909713
10,0.06162,0,4.39,0,0.442,5.898,52.3,8.0136,3,352,18.8,364.61,12.67,18.61799618298032
11,0.0187,85,4.15,0,0.429,6.516,27.7,8.5353,4,351,17.9,392.43,6.36,25.915784566962337
12,0.01501,80,2.01,0,0.435,6.635,29.7,8.344,4,280,17.0,390.94,5.99,28.157507372033297
13,0.02899,40,1.25,0,0.429,6.939,34.5,8.7921,1,335,19.7,389.85,5.89,29.280800289451257
14,0.06211,40,1.25,0,0.429,6.49,44.4,8.7921,1,335,19.7,396.9,5.98,26.300816141461382
15,0.0795,60,1.69,0,0.411,6.579,35.9,10.7103,4,411,18.3,370.78,5.49,28.606074422509728
16,0.07244,60,1.69,0,0.411,5.884,18.5,10.7103,4,411,18.3,392.33,7.79,26.490847441718376
17,0.01709,90,2.02,0,0.41,6.728,36.1,12.1265,5,187,17.0,384.46,4.5,32.05948208311602
18,0.04301,80,1.91,0,0.413,5.663,21.9,10.5857,4,334,22.0,382.8,8.05,25.508850442093753
19,0.10659,80,1.91,0,0.413,5.936,19.5,10.5857,4,334,22.0,376.04,5.57,26.416683372442073
20,8.98296,0,18.1,1,0.77,6.212,97.4,2.1222,24,666,20.2,377.73,17.6,25.76754982851811
21,3.8497,0,18.1,1,0.77,6.395,91.0,2.5052,24,666,20.2,391.34,13.27,25.76756237371716
22,5.20177,0,18.1,1,0.77,6.127,83.4,2.7227,24,666,20.2,395.43,11.48,25.76754900683471
23,4.26131,0,18.1,0,0.77,6.112,81.3,2.5091,24,666,20.2,390.74,12.67,25.76759689979427
24,4.54192,0,18.1,0,0.77,6.398,88.0,2.5182,24,666,20.2,374.56,7.79,25.767577507823848
25,3.83684,0,18.1,0,0.77,6.251,91.1,2.2955,24,666,20.2,350.65,14.19,25.767611107118352
26,3.67822,0,18.1,0,0.77,5.362,96.2,2.1036,24,666,20.2,380.79,10.19,25.7676289903257
27,4.22239,0,18.1,1,0.77,5.803,89.0,1.9047,24,666,20.2,353.04,14.64,25.767543991784656
28,3.47428,0,18.1,1,0.718,8.78,82.9,1.9047,24,666,20.2,354.55,5.29,25.767614434126514
29,4.55587,0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,354.7,7.12,25.767557202463163
30,3.69695,0,18.1,0,0.718,4.963,91.4,1.7523,24,666,20.2,316.03,14.0,25.767602322711436
31,13.5222,0,18.1,0,0.631,3.863,100.0,1.5106,24,666,20.2,131.42,13.33,25.76754973971205
32,4.89822,0,18.1,0,0.631,4.97,100.0,1.3325,24,666,20.2,375.52,3.26,25.7675720261449
33,5.66998,0,18.1,1,0.631,6.683,96.8,1.3567,24,666,20.2,375.33,3.73,25.7675539521601
34,6.53876,0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,392.05,2.96,25.76755085831332
35,9.2323,0,18.1,0,0.631,6.216,100.0,1.1691,24,666,20.2,366.15,9.53,25.76754983547966
36,8.26725,0,18.1,1,0.668,5.875,89.6,1.1296,24,666,20.2,347.88,8.88,25.767549795785477
37,11.1081,0,18.1,0,0.668,4.906,100.0,1.1742,24,666,20.2,396.9,34.77,25.76754974389334
38,18.4982,0,18.1,0,0.668,4.138,100.0,1.137,24,666,20.2,396.9,37.97,25.767549739712024
